GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),173.6,85517,174.791,85345,180.452,85471,186.316,FPC-626,190.314,80491,189.427,85481,190.705,DSNY-BRS-1058,183.315,80720,185.85,FPC-559,191.565,85434
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),11.18,85481,10.424,FPC-626,12.063,85434,20.18,80491,16.899,DSNY-BRS-1058,18.841,FPC-627,24.617,FPC-559,22.586,85345,23.575,85471,20.143,84055
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,8.881,85481,14.559,85434,15.464,80491,12.183,DSNY-BRS-1058,19.308,FPC-627,20.873,FPC-559,17.82,85345,18.809,85471,20.692,85517
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),5.129,85481,6.804,FPC-626,9.741,85434,15.012,80491,13.351,DSNY-BRS-1058,16.966,FPC-627,21.361,FPC-559,20.638,84055,19.884,85471,18.895,85345
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),3.926,85481,6.619,85434,9.165,FPC-626,10.307,DSNY-BRS-1058,11.507,80491,15.251,FPC-627,18.997,FPC-559,21.875,84055,17.711,80720,20.153,85471
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),3.859,85481,7.268,80491,5.762,FPC-626,8.362,DSNY-BRS-1058,11.894,85434,16.959,FPC-627,17.692,FPC-559,17.273,80720,20.619,85471,21.793,84055
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,10.651,85481,10.645,FPC-627,11.089,DSNY-BRS-1058,15.236,FPC-626,14.449,80491,19.679,FPC-559,23.03,84055,26.415,85544,23.015,80720
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),6.084,FPC-627,8.656,85434,12.595,85481,11.988,DSNY-BRS-1058,15.591,80491,15.68,FPC-626,15.77,FPC-559,19.279,84055,22.506,85544,19.106,80720
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),4.034,FPC-627,11.116,85434,13.912,DSNY-BRS-1058,14.154,85481,17.515,80491,13.068,FPC-559,16.577,84055,17.239,FPC-626,19.804,85544,21.054,87247
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),4.754,FPC-627,12.346,85434,15.575,DSNY-BRS-1058,16.519,84055,14.528,85481,11.971,FPC-559,17.938,80491,18.707,85544,18.859,FPC-626,20.996,87247
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),11.305,85471,10.337,85345,12.68,FPC-626,14.439,80491,12.876,85517,15.446,85481,16.72,DSNY-BRS-1058,21.787,85434,13.919,FPC-559,17.441,80720
36061003200,Manhattan,MN0303,-73.98370701917263,40.72555328579269,POINT (-73.98370702842817 40.72555327845573),POINT (-73.98370701917263 40.72555328579269),8.908,DSNY-BRS-1058,8.478,FPC-627,12.737,85434,7.502,85481,12.935,80491,13.102,FPC-559,19.95,84055,11.833,FPC-626,19.497,85544,16.438,80720
36061003300,Manhattan,MN0102,-74.00614634416432,40.71886214043471,POINT (-74.00614634471161 40.718862096530124),POINT (-74.00614634416432 40.71886214043471),8.717,85471,10.177,85345,17.746,80491,9.197,85517,18.324,FPC-626,17.68,DSNY-BRS-1058,18.962,85481,10.83,80720,16.014,FPC-559,25.173,85434
36061003400,Manhattan,MN0303,-73.98145767697616,40.72900590859083,POINT (-73.98145767533329 40.729005907658376),POINT (-73.98145767697616 40.72900590859083),8.29,FPC-627,10.894,DSNY-BRS-1058,14.723,85434,16.819,84055,9.579,FPC-559,14.921,80491,9.488,85481,16.366,85544,18.683,87247,13.819,FPC-626
36061003601,Manhattan,MN0302,-73.9911271645957,40.72231932780311,POINT (-73.99112716050642 40.72231932551375),POINT (-73.9911271645957 40.72231932780311),3.788,DSNY-BRS-1058,3.034,80491,8.751,85481,9.642,FPC-626,12.054,85434,16.2,FPC-559,14.396,FPC-627,15.688,80720,20.318,84055,21.427,85471
36061003602,Manhattan,MN0303,-73.99020046176119,40.724560375260566,POINT (-73.99020044930231 40.7245603764933),POINT (-73.99020046176119 40.72456037526057),1.553,DSNY-BRS-1058,6.317,80491,9.218,85481,13.017,FPC-559,10.149,FPC-626,13.032,85434,15.032,FPC-627,16.124,80720,17.841,84055,17.295,87247
36061003700,Manhattan,MN0201,-74.0074867941145,40.726278564944955,POINT (-74.0074867844917 40.726278558965056),POINT (-74.0074867941145 40.72627856494496),14.637,85471,9.745,80720,12.966,80491,13.475,DSNY-BRS-1058,13.61,FPC-559,16.097,85345,15.117,85517,19.274,FPC-626,17.722,85481,17.239,80493
36061003900,Manhattan,MN0102,-74.0107807590449,40.72079553570638,POINT (-74.0107807731053 40.72079547237539),POINT (-74.01078075904491 40.72079553570638),6.159,85471,15.205,85345,14.225,85517,19.279,80491,20.674,FPC-626,19.788,DSNY-BRS-1058,15.858,80720,22.517,85481,18.242,FPC-559,26.706,85434
36061004001,Manhattan,MN0303,-73.9849021192912,40.730264485255454,POINT (-73.98490213004057 40.730264478967435),POINT (-73.98490211929121 40.73026448525545),10.731,FPC-559,10.213,DSNY-BRS-1058,15.014,84055,11.121,FPC-627,12.858,80491,17.541,85434,12.306,85481,15.21,85544,19.491,87247,14.431,80720
36061004002,Manhattan,MN0303,-73.98720895456378,40.73124230289812,POINT (-73.98720896594332 40.73124229637703),POINT (-73.98720895456378 40.73124230289812),7.528,FPC-559,7.534,DSNY-BRS-1058,12.354,84055,11.041,80491,11.933,FPC-627,11.583,80720,17.677,87247,12.529,85481,16.569,85434,11.901,85544
36061004100,Manhattan,MN0201,-73.99669598277335,40.7191636873842,POINT (-73.99669600087324 40.71916366692359),POINT (-73.99669598277335 40.7191636873842),8.124,80491,11.053,FPC-626,11.954,DSNY-BRS-1058,10.447,85481,18.559,85434,17.642,85471,14.141,FPC-559,16.22,85345,18.693,80720,20.822,FPC-627
36061004300,Manhattan,MN0201,-73.99546720645795,40.723324400824275,POINT (-73.99546719978427 40.723324396693656),POINT (-73.99546720645795 40.72332440082427),3.359,80491,8.304,DSNY-BRS-1058,11.617,85481,13.921,FPC-626,11.419,FPC-559,15.827,85434,15.418,80720,17.029,85471,17.758,FPC-627,16.243,84055
